id,a3,a2,metodo,lambda, qtd raizes reais,isolamento raiz 1,raiz 1,f(raiz1),num interacoes 1,isolamento raiz 2,raiz 2,f(raiz2),num interacoes 2,isolamento raiz 3,raiz 3,f(raiz3),num interacoes 3
1,2,3,original,,,,3.61737,1.79712e-06,5,,,,,,,,
2,2,3,derivada num.,,,,3.61737,1.79771e-06,5,,,,,,,,
3,2,3,FL,0.1,,,3.61737,1.79712e-06,5,,,,,,,,
4,2,3,FL,0.05,,,3.61737,1.79712e-06,5,,,,,,,,
5,2,3,FL,0.02,,,3.61737,1.79712e-06,5,,,,,,,,
6,2,3,FL,0.001,,,3.61737,1.79712e-06,5,,,,,,,,
7,5,7,original,,,,3.52559,2.52283e-07,5,,,,,,,,
8,5,7,derivada num.,,,,3.52559,2.52632e-07,5,,,,,,,,
9,5,7,FL,0.1,,,3.52559,2.52283e-07,5,,,,,,,,
10,5,7,FL,0.05,,,3.52559,2.52283e-07,5,,,,,,,,
11,5,7,FL,0.02,,,3.52559,2.52283e-07,5,,,,,,,,
12,5,7,FL,0.001,,,3.52559,2.52283e-07,5,,,,,,,,
13,1,3,original,,,,,,,,,,,,,,
14,1,3,derivada num.,,,,5.13968,2.72359e-08,46,,,,,,,,
15,1,3,FL,0.1,,,0.111162,8.16126e-10,5,,,,,,,,
16,1,3,FL,0.05,,,0.111162,8.16126e-10,5,,,,,,,,
17,1,3,FL,0.02,,,0.111162,8.16126e-10,5,,,,,,,,
18,1,3,FL,0.001,,,0.111162,8.16126e-10,5,,,,,,,,
